",",、,
-,ー,
.,。,
[,「,
],」,
;,「」,
:,『』,
_,！,
>,…,
a,あ,
b',ばい,
"b,",ぼう,
b.,べい,
b;,ばん,
ba,ば,
bb,っ,b
be,べ,
bi,び,
bj,べん,
bk,ぶん,
bn',びゃい,
"bn,",びょう,
bn.,びぇい,
bn;,びゃん,
bna,びゃ,
bne,びぇ,
bni,びぃ,
bnj,びぇん,
bnk,びゅん,
bno,びょ,
bnp,びゅう,
bnq,びょん,
bnu,びゅ,
bnx,びぃん,
bo,ぼ,
bp,ぶう,
bq,ぼん,
bu,ぶ,
bx,びん,
c',かい,
"c,",こう,
c.,けい,
c;,かん,
ca,か,
cc,っ,c
ce,け,
cha,ちゃ,
che,ちぇ,
chi,ち,
cho,ちょ,
chu,ちゅ,
ci,き,
cj,けん,
ck,くん,
cn',きゃい,
"cn,",きょう,
"cn,",きょう,
cn.,きぇい,
cn;,きゃん,
cna,きゃ,
cne,きぇ,
cni,きぃ,
cnj,きぇん,
cnk,きゅん,
cno,きょ,
cnp,きゅう,
cnq,きょん,
cnu,きゅ,
cnx,きぃん,
co,こ,
cp,くう,
cq,こん,
cu,く,
cx,きん,
d',だい,
"d,",どう,
d.,でい,
d;,だん,
da,だ,
dd,っ,d
de,で,
dha,でゃ,
dhe,でぇ,
dhi,でぃ,
dho,でょ,
dhu,でゅ,
di,ぢ,
dj,でん,
dk,づん,
dn',ぢゃい,
"dn,",ぢょう,
dn.,ぢぇい,
dn;,ぢゃん,
dna,ぢゃ,
dne,ぢぇ,
dni,ぢぃ,
dnj,ぢぇん,
dnk,ぢゅん,
dno,ぢょ,
dnp,ぢゅう,
dnq,ぢょん,
dnu,ぢゅ,
dnx,ぢぃん,
do,ど,
dp,づう,
dq,どん,
du,づ,
dwa,どぁ,
dwe,どぇ,
dwi,どぃ,
dwo,どぉ,
dwu,どぅ,
dx,ぢん,
e,え,
f',ふぁい,
"f,",ふぉう,
f.,ふぇい,
f;,ふぁん,
fa,ふぁ,
fe,ふぇ,
ff,っ,f
fi,ふぃ,
fj,ふぇん,
fk,ふん,
fna,ふゃ,
fne,ふぇ,
fni,ふぃ,
fno,ふょ,
fnu,ふゅ,
fo,ふぉ,
fp,ふう,
fq,ふぉん,
fu,ふ,
fx,ふぃん,
g',がい,
"g,",ごう,
g.,げい,
g;,がん,
ga,が,
ge,げ,
gg,っ,g
gi,ぎ,
gj,げん,
gk,ぐん,
gn',ぎゃい,
"gn,",ぎょう,
gn.,ぎぇい,
gn;,ぎゃん,
gna,ぎゃ,
gne,ぎぇ,
gni,ぎぃ,
gnj,ぎぇん,
gnk,ぎゅん,
gno,ぎょ,
gnp,ぎゅう,
gnq,ぎょん,
gnu,ぎゅ,
gnx,ぎぃん,
go,ご,
gp,ぐう,
gq,ごん,
gu,ぐ,
gwa,ぐぁ,
gwe,ぐぇ,
gwi,ぐぃ,
gwo,ぐぉ,
gwu,ぐぅ,
gx,ぎん,
h',はい,
"h,",ほう,
h.,へい,
h;,はん,
ha,は,
he,へ,
hh,っ,h
hi,ひ,
hj,へん,
hk,ふん,
hn',ひゃい,
"hn,",ひょう,
hn.,ひぇい,
hn;,ひゃん,
hna,ひゃ,
hne,ひぇ,
hni,ひぃ,
hnj,ひぇん,
hnk,ひゅん,
hno,ひょ,
hnp,ひゅう,
hnq,ひょん,
hnu,ひゅ,
hnx,ひぃん,
ho,ほ,
hp,ふう,
hq,ほん,
hu,ふ,
hx,ひん,
i,い,
j',じゃい,
"j,",じょう,
j.,じぇい,
j;,じゃん,
ja,じゃ,
je,じぇ,
ji,じ,
jj,っ,j
jk,じゅん,
jo,じょ,
jq,じょん,
ju,じゅ,
jx,じん,
ka,か,
ke,け,
kha,きゃ,
khe,きぇ,
khi,きぃ,
kho,きょ,
khu,きゅ,
ki,き,
kk,っ,k
ko,こ,
kp,くう,
ku,く,
kwa,くぁ,
kwe,くぇ,
kwi,くぃ,
kwo,くぉ,
ky',きゃい,
"ky,",きょう,
ky.,きぇい,
ky;,きゃん,
kya,きゃ,
kye,きぇ,
kyi,きぃ,
kyj,きぇん,
kyk,きゅん,
kyo,きょ,
kyp,きゅう,
kyq,きょん,
kyu,きゅ,
kyx,きぃん,
la,や,
li,い,
lu,ゆ,
le,いぇ,
lo,よ,
l',やい,
"l,",よう,
lp,ゆう,
l.,いぇい,
l;,やん,
lk,ゆん,
lq,よん,
m',まい,
"m,",もう,
m.,めい,
m;,まん,
ma,ま,
me,め,
mi,み,
mj,めん,
mk,むん,
mm,っ,m
mn',みゃい,
"mn,",みょう,
mn.,みぇい,
mn;,みゃん,
mna,みゃ,
mne,みぇ,
mni,みぃ,
mnj,みぇん,
mnk,みゅん,
mno,みょ,
mnp,みゅう,
mnq,みょん,
mnu,みゅ,
mnx,みぃん,
mo,も,
mp,むう,
mq,もん,
mu,む,
mx,みん,
n,ん,
"n,",のう,
n.,ねい,
n;,なん,
na,な,
ne,ね,
nh',にゃい,
"nh,",にょう,
nh.,にぇい,
nh;,にゃん,
nha,にゃ,
nhe,にぇ,
nhi,にぃ,
nhj,にぇん,
nhk,にゅん,
nho,にょ,
nhp,にゅう,
nhq,にょん,
nhu,にゅ,
nhx,にぃん,
ni,に,
nj,ねん,
nk,ぬん,
nn,ん,
no,の,
np,ぬう,
nq,のん,
nu,ぬ,
nx,にん,
o,お,
pa,ヴァ,
pe,ヴェ,
pi,ヴィ,
po,ヴォ,
pu,ヴ,
pv,っ,v
qa,くぁ,
qe,くぇ,
qi,くぃ,
qo,くぉ,
qq,っ,q
r',らい,
"r,",ろう,
r.,れい,
r;,らん,
ra,ら,
re,れ,
rh',りゃい,
"rh,",りょう,
rh.,りぇい,
rh;,りゃん,
rha,りゃ,
rhe,りぇ,
rhi,りぃ,
rhj,りぇん,
rhk,りゅん,
rho,りょ,
rhp,りゅう,
rhq,りょん,
rhu,りゅ,
rhx,りぃん,
ri,り,
rj,れん,
rk,るん,
ro,ろ,
rp,るう,
rq,ろん,
rr,っ,r
ru,る,
rx,りん,
s',さい,
"s,",そう,
s.,せい,
s;,さん,
sa,さ,
se,せ,
sh',しゃい,
"sh,",しょう,
sh.,しぇい,
sh;,しゃん,
sha,しゃ,
she,しぇ,
shi,しぃ,
shj,しぇん,
shk,しゅん,
sho,しょ,
shp,しゅう,
shq,しょん,
shu,しゅ,
shx,しぃん,
si,し,
sj,せん,
sk,すん,
so,そ,
sp,すう,
sq,そん,
ss,っ,s
su,す,
sx,しん,
t',たい,
"t,",とう,
t.,てい,
t;,たん,
ta,た,
tch,っ,ch
te,て,
tha,てゃ,
the,てぇ,
thi,てぃ,
